NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,591;0,409;0;12,4;0,119;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,87;0,13;0;12,6;0,095;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,591;0,409;0;12,4;0,167;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,591;0,409;0;12,4;0,333;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,87;0,13;0;12,6;0,095;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,84;0,16;0;12,7;0,071;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,84;0,16;0;12,9;0,077;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,608;0,392;0;12;0,615;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-43,3333333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,597;0,403;0;12,2;0,065;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-43,3333333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,597;0,403;0;12,2;0,848;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,88;0,12;0;12,9;0,273;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,88;0,12;0;12,9;0,545;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,85;0,15;0;11,2;0,114;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,84;0,16;0;12,7;0,119;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,597;0,403;0;12,2;0,308;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-43,3333333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,597;0,403;0;12,2;0,087;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;NULL;0,66;-45;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;0,86;0,14;0;12,3;0,068;NULL;NULL;NULL
